Country,Year,File,OriginalURL
Afghanistan,2014,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf
Kenya,2014,Kenya_2014_GOK-national-cybersecurity-strategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Kenya_2014_GOK-national-cybersecurity-strategy.pdf
Romania,2013,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf
Albania,2014,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf
Korea (Republic of),2011,Korea_RepublicOf_2011_KOR_NCSS_2011.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Korea_RepublicOf_2011_KOR_NCSS_2011.pdf
Russian Federation,2000,Russia_2000.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Russia_2000.pdf
Russian Federation,2014,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf
Australia,2009,Australia_2009_AG%20Cyber%20Security%20Strategy%20-%20for%20website.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Australia_2009_AG%20Cyber%20Security%20Strategy%20-%20for%20website.pdf
Australia,2016,Australia_2016_Cyber-Strategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Australia_2016_Cyber-Strategy.pdf
Latvia,2014,Latvia_2014_LVA_CSS_2014-2018.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Latvia_2014_LVA_CSS_2014-2018.pdf
Rwanda,2015,Rwanda%20NCSS%20NICI_III.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Rwanda%20NCSS%20NICI_III.pdf
Austria,2013,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Austria_2013_130415_strategie_cybersicherheit_en_web.pdf
Lithuania,2011,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf
Saudi Arabia,Unknown,SaudiArabia_NISS_Draft_7_EN.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/SaudiArabia_NISS_Draft_7_EN.pdf
Azerbaijan,2004,Azerbaijan_2004_Orig.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Azerbaijan_2004_Orig.pdf
Luxembourg,2011,Luxembourg_2011_Orig_Fr_CSB_Strat__gie_final_20111122_.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Luxembourg_2011_Orig_Fr_CSB_Strat__gie_final_20111122_.pdf
Luxembourg,2015,LUXEMBOURG_NCSS.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/LUXEMBOURG_NCSS.pdf
Serbia,2010,Serbia_2010_Orig_Serb_strategija_razvoja_informacionog_drustva0288_cyr.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Serbia_2010_Orig_Serb_strategija_razvoja_informacionog_drustva0288_cyr.pdf
Bangladesh,Unknown,Bangladesh_10041_41196.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Bangladesh_10041_41196.pdf
Malawi,2013,Malawi_2013_Malawi_ICT_Policy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Malawi_2013_Malawi_ICT_Policy.pdf
Singapore,2013,Singapore_2013_AnnexA.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Singapore_2013_AnnexA.pdf
Singapore,2016,singapore_2016_cybersecuritystrategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/singapore_2016_cybersecuritystrategy.pdf
Belgium,2012,Belgium_2012_Orig_Fr_cybersecustra_fr.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Belgium_2012_Orig_Fr_cybersecustra_fr.pdf
